dataset,mode,num_leaves,n_estimators,precision,recall,f1_score
NF-CSE-CIC-IDS2018-v2,integer,2048,5,0.999989,0.963722,0.981519
NF-CSE-CIC-IDS2018-v2,integer,2048,9,0.999974,0.965446,0.982406
NF-CSE-CIC-IDS2018-v2,integer,2048,13,0.999961,0.965756,0.982560
NF-ToN-IoT-v2,float,32,5,0.947574,0.995811,0.971092
NF-ToN-IoT-v2,float,32,9,0.963398,0.993925,0.978423
NF-ToN-IoT-v2,float,32,13,0.970594,0.991705,0.981035
NF-ToN-IoT-v2,float,64,5,0.966576,0.996854,0.981481
NF-ToN-IoT-v2,float,64,9,0.975640,0.994792,0.985122
NF-ToN-IoT-v2,float,64,13,0.977562,0.995521,0.986459
NF-ToN-IoT-v2,float,128,5,0.976997,0.997915,0.987345
NF-ToN-IoT-v2,float,128,9,0.980726,0.997206,0.988897
NF-ToN-IoT-v2,float,128,13,0.983681,0.996646,0.990120
NF-ToN-IoT-v2,float,256,5,0.984403,0.998117,0.991212
NF-ToN-IoT-v2,float,256,9,0.986685,0.997699,0.992161
NF-ToN-IoT-v2,float,256,13,0.987819,0.997570,0.992670
NF-ToN-IoT-v2,float,512,5,0.986933,0.998562,0.992713
NF-ToN-IoT-v2,float,512,9,0.989155,0.998193,0.993653
NF-ToN-IoT-v2,float,512,13,0.990019,0.998039,0.994012
NF-ToN-IoT-v2,float,1024,5,0.989038,0.998868,0.993928
NF-ToN-IoT-v2,float,1024,9,0.990668,0.998499,0.994568
NF-ToN-IoT-v2,float,1024,13,0.991960,0.998381,0.995160
NF-ToN-IoT-v2,float,2048,5,0.991078,0.999012,0.995029
NF-ToN-IoT-v2,float,2048,9,0.992393,0.998708,0.995540
NF-ToN-IoT-v2,float,2048,13,0.992964,0.998583,0.995765
NF-ToN-IoT-v2,integer,32,5,0.936793,0.997234,0.966068
NF-ToN-IoT-v2,integer,32,9,0.957546,0.992396,0.974659
NF-ToN-IoT-v2,integer,32,13,0.966498,0.991664,0.978918
NF-ToN-IoT-v2,integer,64,5,0.961696,0.996721,0.978894
NF-ToN-IoT-v2,integer,64,9,0.968631,0.995551,0.981906
NF-ToN-IoT-v2,integer,64,13,0.969656,0.995949,0.982626
NF-ToN-IoT-v2,integer,128,5,0.972257,0.997623,0.984776
NF-ToN-IoT-v2,integer,128,9,0.976847,0.996653,0.986650
NF-ToN-IoT-v2,integer,128,13,0.978444,0.996547,0.987412
NF-ToN-IoT-v2,integer,256,5,0.977003,0.997982,0.987381
NF-ToN-IoT-v2,integer,256,9,0.980338,0.997045,0.988621
NF-ToN-IoT-v2,integer,256,13,0.981340,0.997006,0.989111
NF-ToN-IoT-v2,integer,512,5,0.980598,0.998250,0.989345
NF-ToN-IoT-v2,integer,512,9,0.983464,0.997520,0.990442
NF-ToN-IoT-v2,integer,512,13,0.984411,0.997341,0.990833
NF-ToN-IoT-v2,integer,1024,5,0.982635,0.998556,0.990531
NF-ToN-IoT-v2,integer,1024,9,0.985916,0.997914,0.991879
NF-ToN-IoT-v2,integer,1024,13,0.986639,0.997721,0.992149
NF-ToN-IoT-v2,integer,2048,5,0.984440,0.998739,0.991538
NF-ToN-IoT-v2,integer,2048,9,0.986465,0.998113,0.992254
NF-ToN-IoT-v2,integer,2048,13,0.987225,0.997932,0.992549
NF-UNSW-NB15-v2,float,32,5,0.999110,0.873628,0.932163
NF-UNSW-NB15-v2,float,32,9,0.998373,0.968583,0.983252
NF-UNSW-NB15-v2,float,32,13,0.998185,0.974691,0.986298
NF-UNSW-NB15-v2,float,64,5,0.999181,0.890598,0.941768
NF-UNSW-NB15-v2,float,64,9,0.998548,0.966432,0.982227
NF-UNSW-NB15-v2,float,64,13,0.998419,0.971163,0.984602
NF-UNSW-NB15-v2,float,128,5,0.999232,0.892811,0.943027
NF-UNSW-NB15-v2,float,128,9,0.998707,0.961167,0.979577
NF-UNSW-NB15-v2,float,128,13,0.998595,0.968237,0.983181
NF-UNSW-NB15-v2,float,256,5,0.999213,0.911701,0.953452
NF-UNSW-NB15-v2,float,256,9,0.998817,0.958241,0.978108
NF-UNSW-NB15-v2,float,256,13,0.998677,0.966986,0.982576
NF-UNSW-NB15-v2,float,512,5,0.999246,0.900422,0.947262
NF-UNSW-NB15-v2,float,512,9,0.998900,0.954256,0.976067
NF-UNSW-NB15-v2,float,512,13,0.998688,0.966748,0.982458
NF-UNSW-NB15-v2,float,1024,5,0.999312,0.869766,0.930047
NF-UNSW-NB15-v2,float,1024,9,0.998928,0.953971,0.975931
NF-UNSW-NB15-v2,float,1024,13,0.998738,0.966293,0.982247
NF-UNSW-NB15-v2,float,2048,5,0.999307,0.870898,0.930692
NF-UNSW-NB15-v2,float,2048,9,0.998929,0.953472,0.975671
NF-UNSW-NB15-v2,float,2048,13,0.998720,0.966592,0.982393
NF-UNSW-NB15-v2,integer,32,5,0.999073,0.878126,0.934701
NF-UNSW-NB15-v2,integer,32,9,0.998399,0.966639,0.982262
NF-UNSW-NB15-v2,integer,32,13,0.998246,0.973842,0.985893
NF-UNSW-NB15-v2,integer,64,5,0.999192,0.883498,0.937788
NF-UNSW-NB15-v2,integer,64,9,0.998600,0.965288,0.981661
NF-UNSW-NB15-v2,integer,64,13,0.998478,0.971314,0.984708
NF-UNSW-NB15-v2,integer,128,5,0.999222,0.895585,0.944568
NF-UNSW-NB15-v2,integer,128,9,0.998706,0.963179,0.980620
NF-UNSW-NB15-v2,integer,128,13,0.998580,0.970649,0.984416
NF-UNSW-NB15-v2,integer,256,5,0.999220,0.906551,0.950631
NF-UNSW-NB15-v2,integer,256,9,0.998779,0.960341,0.979182
NF-UNSW-NB15-v2,integer,256,13,0.998645,0.968224,0.983199
NF-UNSW-NB15-v2,integer,512,5,0.999184,0.903641,0.949012
NF-UNSW-NB15-v2,integer,512,9,0.998850,0.956149,0.977032
NF-UNSW-NB15-v2,integer,512,13,0.998656,0.967207,0.982679
NF-UNSW-NB15-v2,integer,1024,5,0.999233,0.866847,0.928342
NF-UNSW-NB15-v2,integer,1024,9,0.998877,0.954196,0.976025
NF-UNSW-NB15-v2,integer,1024,13,0.998692,0.966961,0.982570
NF-UNSW-NB15-v2,integer,2048,5,0.999257,0.864940,0.927257
NF-UNSW-NB15-v2,integer,2048,9,0.998890,0.954577,0.976230
NF-UNSW-NB15-v2,integer,2048,13,0.998694,0.967179,0.982683
