dataset,mode,max_leaves,n_estimators,MIN_IP_PKT_LEN,L7_PROTO,IN_BYTES,RETRANSMITTED_OUT_BYTES,DST_TO_SRC_AVG_THROUGHPUT,DST_TO_SRC_SECOND_BYTES,OUT_BYTES,DNS_QUERY_ID,SRC_TO_DST_SECOND_BYTES,SHORTEST_FLOW_PKT,L4_SRC_PORT,L4_DST_PORT,FLOW_DURATION_MILLISECONDS,MIN_TTL,NUM_PKTS_128_TO_256_BYTES,OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,TCP_FLAGS,LONGEST_FLOW_PKT,IN_PKTS,SERVER_TCP_FLAGS,NUM_PKTS_UP_TO_128_BYTES,PROTOCOL,NUM_PKTS_512_TO_1024_BYTES,CLIENT_TCP_FLAGS,NUM_PKTS_1024_TO_1514_BYTES,DURATION_IN,TCP_WIN_MAX_IN,RETRANSMITTED_IN_PKTS,DURATION_OUT,RETRANSMITTED_IN_BYTES,MAX_IP_PKT_LEN,MAX_TTL,NUM_PKTS_256_TO_512_BYTES,RETRANSMITTED_OUT_PKTS,ICMP_TYPE,TCP_WIN_MAX_OUT,ICMP_IPV4_TYPE,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE
NF-CSE-CIC-IDS2018-v2,float,1024,5,0.006239807400476215,0.02185816615016431,0.015330152918910836,0.00010844930185634873,0.00027483728634868456,0.0021604635157387317,0.0007520232171943751,1.6385987336536422e-05,7.252751272626279e-05,0.0002020671620906343,0.039470652478012715,0.07057242109013223,0.00012117177202638693,0.0067480264722247895,0.0008300470619389737,0.00035898776294937193,0.0013523914512355074,0.00805692785689975,0.033036254076398874,0.0012702674957748624,0.013595598961536117,0.012831488097826816,0.0,0.0069062432752225456,4.231548450631553e-05,1.869297279169632e-05,0.03196346712342599,0.027600335033431324,1.2720107700514794e-05,0.0008744169398902146,0.047741189819701796,1.5139404881252134e-17,0.08687763998800452,0.0028588674270737216,0.0,0.007719694694652,0.00029731196728360106,0.0,9.540542454493667e-05,2.6795751119766286e-05,0.0
NF-CSE-CIC-IDS2018-v2,float,1024,9,0.007147605753562289,0.03202323726038259,0.01767025548907004,0.00010026165508343506,0.0004898930095983688,0.0015097641632489415,0.0010979702375831205,2.838255624352434e-05,7.078993191920744e-05,0.00029834058497447665,0.06108672727396913,0.10973266820948366,0.00010035577775141927,0.009146465654327788,0.0014961781086639684,0.0005723972135053306,0.005172340844645025,0.01471393047136672,0.04843736197796141,0.001971113810960326,0.017500374726190742,0.01974100272393151,8.41078048958452e-18,0.010462684229902024,0.005803630527434316,5.0724322473497006e-05,0.0428963773459849,0.03825280444608279,3.899792039881758e-05,0.0010336736870218295,0.05550277685231473,3.364312195833808e-17,0.1255284040957092,0.004014464835988926,2.7535047244081735e-06,0.012357306927948572,0.00026311562004834455,1.0092936587501423e-17,9.488841968989878e-05,2.97924391480169e-05,0.0
NF-CSE-CIC-IDS2018-v2,float,1024,13,0.006810644614511589,0.04050316051784028,0.016352796394867655,0.00012474166707054712,0.0009458729811260704,0.001046557761029892,0.0010775398600108268,4.04511929792651e-05,6.914323653195954e-05,0.0004009298772707357,0.07512024274814397,0.13237520196866598,0.00010549358869273523,0.01186731941780973,0.0020999150898017137,0.0006208969132016396,0.006358106442693231,0.02034802437754515,0.049801998082107835,0.001496012380191908,0.018522906339718096,0.023137702489408506,8.41078048958452e-18,0.013324582261368711,0.007751223434614421,6.340863470020411e-05,0.04875823467209015,0.04245769278419124,6.808437553807772e-05,0.0011469181112244448,0.055879392901694684,4.878252683959021e-17,0.14966378931804913,0.004647605610163759,1.0147688899781787e-05,0.010861142156882398,0.003528545114329835,5.226975012014877e-07,9.817237521747372e-05,3.197607585472547e-05,0.0
NF-CSE-CIC-IDS2018-v2,float,2048,5,0.00519219649331939,0.024088781120069395,0.01559969230970242,9.561116039788534e-05,0.00036281717656151647,0.0021335556880183603,0.0008586624915933856,3.4425128873544096e-05,8.390129954480039e-05,0.00026565382328550783,0.03926783637350843,0.07045062987714473,7.815784650340598e-05,0.006742265044202942,0.0009209548569839159,0.0003532963322397303,0.0012811611124867533,0.008151965083635193,0.032130070669276305,0.0013433961334217994,0.01432246976834279,0.014824047087077007,0.0,0.007310876033524834,0.00010731383095538379,2.2446779539522327e-05,0.0322396018767055,0.0280771876565405,8.284624416762374e-06,0.0008979381895438181,0.04803791951645446,1.3457248783335231e-17,0.08568188793924,0.0029174259135750055,1.6183247662798683e-05,0.00762640339489579,0.0006161949537998125,0.0,8.146541847588384e-05,3.5379970306779045e-05,0.0
NF-CSE-CIC-IDS2018-v2,float,2048,9,0.005915589904250888,0.03369689484642003,0.017589373371943943,9.048294231878383e-05,0.0006458879039498574,0.0014983926960427767,0.0011785757965883784,4.891840936198507e-05,8.263922781967223e-05,0.00031666938633918027,0.0608099108195192,0.10920514297221302,0.00015368124940096377,0.009563377097765984,0.0017754829171131169,0.0005215364206015711,0.0046539541592191475,0.014460961825520655,0.04538142050453662,0.0019647397147589877,0.017882953751855037,0.023520088111398853,6.7286243916676156e-18,0.01077861170644455,0.005861575724334438,4.565294465087095e-05,0.04242374931196456,0.03898740171232082,6.60263621599475e-05,0.0010963766280711158,0.05511429501063073,3.700743415417188e-17,0.12439184054096385,0.004147660264996768,4.1471178988346656e-05,0.01243002978160594,0.0005729815962237262,1.0092936587501423e-17,0.00011657125063722078,4.943783959849536e-05,0.0
NF-CSE-CIC-IDS2018-v2,float,2048,13,0.006076192605855074,0.04138466685568246,0.015993247006828425,8.048999844200047e-05,0.0007603430484886126,0.0011209310228253069,0.0011849992995489485,9.338599441599519e-05,7.9438030103998e-05,0.0004119514228389948,0.07495074240994642,0.13557629779311606,0.00015557180664062037,0.01165790867118313,0.0030038091498678448,0.0007302086464337952,0.004957237995218572,0.019948201773835852,0.05292133105391757,0.001468044371763684,0.019368232393126673,0.024626639186106806,1.0092936587501423e-17,0.013267611057802406,0.007896188957157478,4.7416955343100596e-05,0.04883941258370256,0.04368739698010767,9.954349907158314e-05,0.0010492258866468802,0.06020734336924878,3.027880976250427e-17,0.14649072046031403,0.00480451824806929,3.728025838400297e-05,0.010799557555902145,0.0015749097837283793,1.0097273643759348e-06,0.00013312100651528578,5.859034448150735e-05,0.0
NF-CSE-CIC-IDS2018-v2,integer,32,5,0.002999664731500034,0.0,0.013152114229356417,0.0,0.0,0.0,0.0008978648209746135,1.682156097916904e-17,4.0371746350005693e-17,4.280262288250291e-05,0.03014071928745998,0.09292236120145758,0.0,0.01458454000083899,0.010027096308396093,3.027880976250427e-17,0.0,0.006016896448412496,0.029387704481075402,0.003805891159364427,0.009329096079103474,0.0015032729788748674,0.0,3.3643121958338078e-18,0.00019849880163448852,0.0,0.03322686318913282,0.004408603913551841,0.0,0.0,0.05232290845851179,1.682156097916904e-17,0.08361499610922381,0.0004810854766739807,0.0,0.0,1.5139404881252134e-17,0.0,0.0,0.0,0.0
NF-CSE-CIC-IDS2018-v2,integer,32,9,0.0024934494301843994,5.046468293750712e-18,0.013002594961895453,0.0,1.0092936587501423e-17,0.0,0.0014693621913198162,1.0092936587501423e-17,4.2053902447922596e-17,3.333349673652543e-05,0.04211565095889332,0.13060684766281075,0.0,0.05758088969900528,0.014087291726887772,4.933700965076518e-06,1.0092936587501423e-17,0.010307650040287625,0.03974602646394551,0.005209154892081513,0.012476528104591066,0.0015152697940432908,1.0092936587501423e-17,1.6821560979169039e-18,0.00018149732044430315,0.0,0.04944804794486574,0.01197956726026081,1.0092936587501423e-17,0.0,0.06389670685377795,3.532527805625498e-17,0.10504486356326669,0.00041719262760016616,0.0,1.0092936587501423e-17,5.362021400932928e-05,1.0092936587501423e-17,3.3643121958338078e-18,0.0,0.0
NF-CSE-CIC-IDS2018-v2,integer,32,13,0.0019174252730512651,0.0003392899394589279,0.011588618934906888,3.3643121958338078e-18,1.3457248783335231e-17,5.046468293750712e-18,0.0014070801084079497,1.5139404881252134e-17,0.00027574995668705357,4.447561015213233e-05,0.048933921222249196,0.15951844265590376,0.0,0.08890539231693347,0.014347985710230939,0.00019197187083972922,1.5139404881252134e-17,0.011919100058696369,0.04143079385266111,0.0047464060917839675,0.012442482944014815,0.0013857692073257378,1.3457248783335231e-17,1.6821560979169039e-18,0.0016840968615702793,0.0,0.05758474912489302,0.014652165834073536,1.5139404881252134e-17,0.0012655765860434074,0.07541918637777076,4.0371746350005693e-17,0.11485894830261062,0.000314228652563016,3.3643121958338078e-18,1.5139404881252134e-17,0.0003285647054507917,1.5139404881252134e-17,0.0,5.046468293750712e-18,0.0
NF-CSE-CIC-IDS2018-v2,integer,64,5,0.0012491053192596122,0.0,0.011526829076667959,0.0,0.0,0.0,0.0034627904291829777,1.5139404881252134e-17,3.0435846264617015e-06,0.00015499451172174347,0.04161011316690359,0.09568354756250397,0.0,0.014991253773681887,0.0037117237515547526,0.010495997803185535,0.0,0.02065749461850991,0.02490667795418279,0.0069877334292116,0.011879701772923142,0.002517398215844455,0.0,0.0,0.00018641493664207725,0.0,0.033062126405465596,0.007803134673292037,0.0,0.004464129002825481,0.04605397772969551,2.186802927291975e-17,0.0840859338041677,0.0006372486924185176,0.0,0.0,0.009418902594451679,0.0,0.0,0.0,0.0
